name,category
pBI-CMV5,哺乳动物载体
pBI-CMV3,哺乳动物载体
pNFκB-MetLuc2-Reporter,哺乳动物载体
pAcGFP1-C3,哺乳动物载体
pAcGFP1-Mem,哺乳动物载体
pAcGFP1-F,哺乳动物载体
ptdTomato-N1,哺乳动物载体
pCMV-DsRed-Express2,哺乳动物载体
ptdTomato-C1,哺乳动物载体
pGL3 basic,哺乳动物载体
pAcGFP1-N3,哺乳动物载体
pAcGFP1-C In-Fusion Ready,哺乳动物载体
pDsRed2-Bid,哺乳动物载体
pAmCyan1-N1,哺乳动物载体
pDsRED-Monomer-N1,哺乳动物载体
pDsRed-Express-C1,哺乳动物载体
pDsRed-Express2-N1,哺乳动物载体
pIRES2-DsRed-Express2,哺乳动物载体
pIRESneo,哺乳动物载体
pIRES-EGFP,哺乳动物载体
pBApo-EF1α-pur,哺乳动物载体
pBApo-CMV-neo,哺乳动物载体
pcDNA5/FRT/TO-TOPO,哺乳动物载体
pcDNA3.1/NT-GFP-TOPO,哺乳动物载体
pCMV-PKA,哺乳动物载体
pcDNA3.2/V5/GW/D-TOPO,哺乳动物载体
pcDNA6.2/C-YFP-DEST,哺乳动物载体
pcDNA6/V5-His B,哺乳动物载体
pcDNA6/myc-His A,哺乳动物载体
pcDNA4/HisMax-TOPO,哺乳动物载体
pcDNA4/myc-His C,哺乳动物载体
c-Flag pcDNA3,哺乳动物载体
pcDNA4/myc-His A,哺乳动物载体
pcDNA4/His A,哺乳动物载体
pcDNA4/TO,哺乳动物载体
pBudCE4.1,哺乳动物载体
pFLAG-CMV-2,哺乳动物载体
p3xFLAG-CMV-10,哺乳动物载体
p3XFLAG-CMV-7,哺乳动物载体
plRES2-ZsGreen1,哺乳动物载体
pCMV-Tag 3B,哺乳动物载体
pCMV-Tag 4A,哺乳动物载体
pCMV-Tag 2C,哺乳动物载体
pCMV-Myc,哺乳动物载体
pEF1α-AcGFP1-N1,哺乳动物载体
pDual-GC,哺乳动物载体
pcDNA4/TO/Myc-His/LacZ,哺乳动物载体
pSwitch,哺乳动物载体
pTRE3G-Luc,哺乳动物载体
pTet-On,哺乳动物载体
pRevTet-Off,哺乳动物载体
pBIND-Id Control,哺乳动物载体
pACT-MyoD,哺乳动物载体
pGRN145,哺乳动物载体
pEE6.4,哺乳动物载体
pcDNA3.1/Myc-His C,哺乳动物载体
pEF6/V5-His TOPO TA,哺乳动物载体
pEF6/myc-His B,哺乳动物载体
pEF6/His A,哺乳动物载体
pEF1/V5-His C,哺乳动物载体
pEF1/myc-His A,哺乳动物载体
pEF4/myc-His A,哺乳动物载体
pEF4/His A,哺乳动物载体
pEGFP-N3,哺乳动物载体
pEGFP-C3,哺乳动物载体
pcDNA3.1/Hygro(-),哺乳动物载体
psiCHECK 2,哺乳动物载体
pRNA-H1.1/Adeno,哺乳动物载体
pRluc-N1,哺乳动物载体
pcDNA3.1-Cre,哺乳动物载体
pCEP4,哺乳动物载体
pAcGFP1-Actin,哺乳动物载体
pNL4-3,哺乳动物载体
pDsRed2-N1,哺乳动物载体
pEF1α-IRES-DsRed-Express2,哺乳动物载体
pRluc-N2,哺乳动物载体
pGL4.75[hRluc/CMV],哺乳动物载体
pCGN,哺乳动物载体
Puro-Cas9 donor,哺乳动物载体
pRluc-N3,哺乳动物载体
pSecTag2/Hygro A,哺乳动物载体
pcDNA3.1-T2A-DsRed2,哺乳动物载体
pNLF1-C [CMV/Hygro],哺乳动物载体
pTet-off-advanced,哺乳动物载体
pBD-NF-kB,哺乳动物载体
pEGFP-C3-IRF3,哺乳动物载体
pCMV-Gaussia-Dura-Luc,哺乳动物载体
pBudCE4.1-hrGFP,哺乳动物载体
pcDNA3.1-Flag-HA,哺乳动物载体
pEGFP-LC3b,哺乳动物载体
pmGeos-M-C1,哺乳动物载体
pECMV-3×FLAG-N,哺乳动物载体
pSUPER.neo+gfp,哺乳动物载体
pGene/V5-His A,哺乳动物载体
pEE14.4,哺乳动物载体
pZsYellow1-N1,哺乳动物载体
pGL4.22[luc2CP/Puro],哺乳动物载体
pTagCFP-N,哺乳动物载体
pCDEF-HA-Ub-K63R,哺乳动物载体
pRevTet-On,哺乳动物载体
pEF-BOS,哺乳动物载体
pLKO.1-EGFP,哺乳动物载体
pCDNA3.1-FLAG(-),哺乳动物载体
pCMV-HA-SRC,哺乳动物载体
pcDNA3.1-GP130v1,哺乳动物载体
pcDNA3.1+C-DYK-P2A,哺乳动物载体
pcDNA3.1+N-eGFP,哺乳动物载体
pCMV-3Tag-3a,哺乳动物载体
pcDNA3.1+/N-GST(TEV),哺乳动物载体
pcDNA3.1+N-MYC,哺乳动物载体
pcDNA3.1+N-DYK,哺乳动物载体
pcDNA3.1+/C-DYK,哺乳动物载体
pTRE2pur,哺乳动物载体
pTRE2hyg,哺乳动物载体
HDM-Rev1b,哺乳动物载体
pBabe-Dual,哺乳动物载体
pCDM8,哺乳动物载体
pCMV-HA-N,哺乳动物载体
pCMV-Flag-C,哺乳动物载体
pCGlobin2-Cre,哺乳动物载体
pCMV-(DYKDDDDK)-N,哺乳动物载体
pLEGFP-N1,哺乳动物载体
pcDNA3.1-mRFP,哺乳动物载体
pcDNA4/V5-His A,哺乳动物载体
pTracer-CMV2,哺乳动物载体
pCMV-RFP-C-Myc,哺乳动物载体
pMIR-REPORT β-gal Control,哺乳动物载体
pSilencer 3.1-H1 neo,哺乳动物载体
pFR-Luc,哺乳动物载体
pBD-NF-κB,哺乳动物载体
pEF1/myc-His B,哺乳动物载体
pTK-Neo,哺乳动物载体
pSV2-Neo,哺乳动物载体
pEE12.4,哺乳动物载体
pTet-Off,哺乳动物载体
pCAG-T7-TALEN(Sangamo)-Destination,哺乳动物载体
mVenus-C1,哺乳动物载体
pcDNA3.1/Zeo(+),哺乳动物载体
pDsRED2-Peroxi,哺乳动物载体
pBK-CMV,哺乳动物载体
pEBVHisB,哺乳动物载体
pEBVHis-lacZ,哺乳动物载体
pREP4/CAT,哺乳动物载体
pCMV-SPORT1,哺乳动物载体
pCMV-SPORT4,哺乳动物载体
pSilencer 2.1-U6 hygro,哺乳动物载体
pSilencer1.0,哺乳动物载体
pBLOCK-iT6-DEST,哺乳动物载体
pCMV-Green-Renilla-Luc,哺乳动物载体
pProLabel-C,哺乳动物载体
pCMV-Red-Firefly-Luc,哺乳动物载体
pFN31K Nluc-CMV-neo-Flexi,哺乳动物载体
pGL4.84[hRlucCP/Puro],哺乳动物载体
pGL4.79[hRluc/Neo],哺乳动物载体
pGL4.76[hRluc/Hygro],哺乳动物载体
pGL4.72[hRlucCP],哺乳动物载体
